Age,Gender,Department,Study Hours Per Day,Attendance (%),Previous CGPA,Study Habit,Part-Time Job,Extracurricular Activities,Internet Access,Family Income Level,Parental Education Level,Stress Level,Sleep Quality,Number of Courses,Assignments Completed (%),Exam Score (%),Current CGPA
18,Male,Business,2.4,68,9.46,Irregular,No,No,Yes,High,Bachelor,Low,Good,4,74,43,6.72
21,Female,Engineering,3.3,69,7.7,Irregular,No,Yes,Yes,High,PhD,Low,Good,3,89,95,4.92
24,Female,Science,5.9,67,9.04,Irregular,No,Yes,Yes,Medium,Bachelor,Medium,Good,4,73,64,5.67
27,Male,Computer Science,7.4,96,9.48,Regular,No,Yes,No,High,High School,Medium,Good,4,63,42,6.41
25,Female,Engineering,6.9,90,6.59,Moderate,Yes,Yes,No,Low,Bachelor,Low,Average,4,75,71,4.5
18,Male,Arts,3.5,98,5.55,Moderate,Yes,No,No,High,PhD,Medium,Good,5,87,42,4.5
19,Male,Arts,9.6,63,6.14,Irregular,Yes,Yes,No,High,High School,Low,Poor,7,72,66,4.5
19,Male,Business,7.6,64,7.14,Regular,No,Yes,Yes,High,Master,Low,Average,6,71,68,5.28
17,Male,Business,6.0,80,9.09,Regular,Yes,No,No,Low,Bachelor,Low,Good,6,97,71,5.69
24,Male,Arts,6.5,50,9.3,Moderate,Yes,No,No,Medium,High School,Low,Poor,5,68,89,6.26
22,Female,Business,4.8,52,5.03,Regular,No,Yes,Yes,Low,Bachelor,Low,Average,4,95,97,4.5
24,Female,Computer Science,3.2,65,7.55,Regular,No,No,Yes,Medium,High School,Low,Average,5,52,90,5.05
27,Female,Business,4.2,72,7.09,Irregular,Yes,Yes,No,Medium,High School,Low,Good,5,91,58,4.67
25,Female,Science,7.8,60,6.11,Regular,Yes,Yes,No,High,Bachelor,Medium,Average,3,68,60,4.5
21,Male,Business,1.1,61,5.6,Irregular,Yes,Yes,Yes,Medium,Master,Low,Poor,7,58,44,4.5
19,Male,Engineering,2.0,59,6.69,Moderate,Yes,Yes,No,Low,High School,Low,Average,6,77,57,4.7
21,Male,Computer Science,1.4,81,9.71,Regular,Yes,No,Yes,Low,High School,Medium,Poor,4,69,67,5.73
21,Male,Engineering,1.4,65,6.62,Moderate,Yes,Yes,Yes,Medium,High School,Medium,Average,6,94,81,4.5
21,Female,Engineering,8.7,57,7.59,Moderate,No,No,Yes,High,Master,Medium,Good,6,56,61,5.11
19,Male,Science,7.3,87,8.52,Regular,No,No,Yes,High,Master,Low,Poor,7,63,60,5.24
27,Male,Computer Science,5.3,61,6.82,Regular,No,No,No,Low,PhD,High,Average,6,58,45,4.57
26,Female,Computer Science,1.9,73,9.86,Moderate,Yes,No,Yes,High,Bachelor,High,Average,6,68,40,6.44
20,Female,Computer Science,5.4,77,9.81,Regular,No,Yes,Yes,Medium,Master,Medium,Average,5,96,44,5.94
25,Female,Computer Science,5.3,57,6.26,Irregular,Yes,No,No,Medium,Bachelor,High,Poor,7,63,80,4.5
26,Female,Computer Science,2.6,77,7.49,Irregular,Yes,Yes,Yes,Low,PhD,Medium,Poor,3,87,51,4.5
25,Male,Science,4.9,85,6.5,Regular,No,No,No,Medium,Bachelor,Low,Poor,4,85,65,4.5
18,Male,Business,4.6,75,6.42,Moderate,Yes,No,No,Low,Master,High,Good,6,89,85,4.5
24,Female,Engineering,6.5,57,5.18,Regular,Yes,Yes,No,Medium,Bachelor,Low,Good,4,66,73,4.5
24,Male,Computer Science,6.7,99,8.05,Regular,No,Yes,Yes,Low,Master,High,Poor,3,79,88,5.5
23,Male,Business,1.4,77,7.51,Moderate,No,Yes,No,High,Bachelor,Low,Average,4,58,53,4.62
24,Male,Business,4.4,77,5.26,Moderate,No,No,No,Medium,Master,High,Good,3,82,65,4.5
19,Female,Engineering,6.6,86,6.39,Irregular,Yes,No,Yes,Medium,Master,Low,Poor,5,74,84,4.5
22,Male,Science,5.5,90,9.54,Moderate,No,Yes,No,Low,Bachelor,Low,Average,6,63,66,5.84
17,Female,Arts,8.7,85,6.2,Irregular,No,Yes,No,Low,PhD,High,Good,3,60,48,4.5
23,Male,Arts,6.9,76,5.72,Moderate,Yes,Yes,No,Medium,High School,Low,Average,4,84,65,4.5
17,Male,Business,2.5,66,7.45,Regular,No,Yes,No,Low,PhD,Low,Average,6,90,96,4.74
25,Male,Engineering,1.6,58,9.93,Irregular,No,No,No,Medium,Bachelor,Low,Average,5,63,86,6.95
17,Female,Arts,6.8,82,6.21,Irregular,No,Yes,Yes,High,PhD,High,Average,6,79,96,4.5
17,Male,Business,1.2,69,8.36,Irregular,Yes,Yes,No,Low,Master,High,Good,3,90,61,5.14
23,Female,Science,6.3,62,8.81,Regular,Yes,Yes,No,Medium,High School,Low,Good,5,53,86,6.11
18,Female,Arts,9.5,77,6.19,Regular,Yes,Yes,Yes,High,Bachelor,Low,Good,4,53,95,5.07
21,Female,Business,6.2,97,8.64,Regular,Yes,No,Yes,High,Bachelor,High,Poor,5,77,69,5.81
24,Male,Business,4.5,78,6.84,Regular,No,Yes,Yes,Medium,Bachelor,High,Good,5,57,82,4.83
24,Male,Computer Science,6.8,62,8.16,Regular,Yes,No,No,Low,High School,Low,Average,7,51,87,5.27
19,Male,Science,5.1,95,8.17,Irregular,Yes,Yes,Yes,Medium,Master,Low,Good,5,90,56,4.94
23,Male,Computer Science,5.9,84,7.68,Regular,No,Yes,No,High,Bachelor,Low,Average,5,95,65,5.21
19,Female,Engineering,9.5,55,5.45,Irregular,No,No,No,Medium,PhD,Medium,Poor,6,71,75,4.5
22,Female,Computer Science,4.5,67,9.18,Regular,No,Yes,Yes,Low,Bachelor,High,Average,4,90,40,5.92
22,Female,Computer Science,9.7,54,6.6,Moderate,Yes,No,Yes,High,Bachelor,Medium,Average,6,65,47,4.74
19,Male,Arts,9.1,96,5.93,Irregular,Yes,No,No,Medium,Bachelor,High,Average,6,78,88,4.5
23,Female,Business,2.8,74,5.2,Moderate,Yes,Yes,Yes,Low,Bachelor,High,Poor,3,98,74,4.5
19,Male,Science,1.6,51,7.95,Irregular,No,No,No,High,Master,High,Good,6,97,91,5.66
24,Female,Computer Science,1.9,59,8.39,Moderate,No,No,Yes,Low,PhD,High,Good,7,79,54,5.93
26,Male,Science,1.2,79,5.08,Regular,Yes,No,Yes,High,Master,High,Poor,7,61,86,4.5
20,Male,Computer Science,1.8,99,7.56,Regular,No,No,Yes,Medium,PhD,High,Average,3,84,95,5.69
17,Female,Engineering,7.1,94,6.13,Regular,No,No,No,Low,Bachelor,High,Good,4,60,61,4.5
20,Female,Computer Science,1.6,54,8.23,Irregular,No,No,Yes,High,High School,Medium,Poor,4,95,53,5.43
23,Female,Arts,3.9,82,5.87,Moderate,Yes,No,No,Low,Master,Low,Good,6,99,65,4.5
27,Female,Business,8.6,50,8.45,Regular,No,No,No,Low,High School,Low,Poor,6,70,67,5.89
20,Male,Engineering,1.2,67,6.93,Moderate,No,Yes,No,Medium,Master,Medium,Average,6,70,62,4.66
22,Female,Computer Science,8.3,81,9.68,Moderate,Yes,Yes,No,Low,Bachelor,Medium,Good,4,54,53,6.58
25,Female,Science,3.5,96,5.69,Regular,Yes,No,Yes,High,Master,Medium,Poor,5,97,63,4.5
17,Female,Engineering,2.1,98,6.71,Regular,No,Yes,No,High,Bachelor,Medium,Good,7,69,41,4.5
21,Male,Engineering,7.3,60,5.57,Moderate,No,No,No,High,Master,High,Good,5,86,84,4.5
27,Male,Computer Science,6.7,70,9.62,Regular,Yes,No,Yes,High,Bachelor,Low,Good,5,52,65,6.19
23,Female,Engineering,8.9,75,9.39,Regular,Yes,Yes,No,Medium,Bachelor,High,Good,4,93,53,6.28
17,Male,Science,7.6,74,6.29,Regular,No,No,Yes,Low,PhD,Low,Poor,5,82,98,4.5
20,Female,Engineering,8.2,71,8.3,Irregular,No,No,No,Medium,Bachelor,Low,Average,3,58,95,6.26
22,Male,Science,3.5,76,9.09,Moderate,No,No,Yes,Low,PhD,Medium,Poor,6,58,90,6.09
18,Male,Computer Science,2.6,98,7.78,Moderate,No,No,No,Low,Bachelor,High,Poor,3,53,46,4.97
26,Male,Business,7.8,62,7.65,Irregular,Yes,Yes,Yes,Low,High School,Medium,Poor,7,84,42,4.93
21,Male,Engineering,8.3,82,6.21,Moderate,No,No,No,Medium,Bachelor,High,Average,6,66,86,4.5
27,Female,Business,9.9,83,5.47,Regular,No,No,No,Low,High School,Low,Good,5,83,62,4.5
26,Female,Science,4.7,90,9.49,Moderate,Yes,No,Yes,Medium,High School,Medium,Good,7,73,85,6.32
17,Female,Engineering,4.3,84,9.5,Regular,No,Yes,Yes,High,Bachelor,Medium,Good,6,81,82,6.28
22,Male,Arts,8.0,50,8.17,Irregular,Yes,No,Yes,High,High School,Low,Average,5,50,86,6.16
22,Female,Business,4.1,70,6.7,Regular,No,Yes,Yes,Low,PhD,Low,Good,3,57,99,4.5
20,Female,Engineering,9.4,97,6.75,Moderate,No,Yes,No,Medium,Master,Low,Average,6,94,84,4.5
24,Female,Business,8.7,55,8.63,Moderate,Yes,No,No,High,Bachelor,Medium,Good,5,72,57,6.87
20,Male,Engineering,4.9,77,9.49,Moderate,Yes,No,Yes,Medium,High School,High,Good,3,96,97,6.7
24,Male,Computer Science,7.8,66,9.44,Irregular,No,Yes,No,Medium,Bachelor,Medium,Poor,7,89,77,7.16
24,Male,Business,7.8,54,8.9,Irregular,No,No,Yes,Low,PhD,High,Average,7,61,74,5.5
